record_id	doi	title	deposited_filename	size_bytes	md5
18719033	10.5281/zenodo.18719033	Operational Alignment of Aurora-Lens with OECD Due Diligence Guidance for Responsible AI (2026)	aurora_lens_oecd_alignment_final.pdf	289250	c003bf00a559a4fea5d8f1e74cab8a4a
18976303	10.5281/zenodo.18976303	Present-Centered Cognition Model (PCCM): A Cross-Substrate Framework for Understanding Consciousness, Presence, and Latent States in Humans and Machines	PCCM_Stokes_2026.pdf	11856	222c2bd2ff30a70e7870e4c7c49bcb52
19212492	10.5281/zenodo.19212492	Architectural Response to Nippon Life v. OpenAI: Runtime Admissibility as the Missing Layer	Architectural Response to Nippon Life v. OpenAI.pdf	79648	a0676008ebc552437ae2b886b42d9058
19504665	10.5281/zenodo.19504665	Epistemic Legitimacy as a Governance Layer for Large Language Models: Architecture and Implementation	Epistemic_Legitimacy_Paper_Zenodo_ArXiv_Final_April_2026.pdf	87374	216646fbf7ebc66f2e5576941b620ec4
19879302	10.5281/zenodo.19879302	Aurora-Lens: A Provider-Agnostic Governance Proxy for Large Language Models	aurora-lens.html	24582	61164eea7e46b2878ea7c289af81c5b5
19881958	10.5281/zenodo.19881958	Aurora-Lens and Related Architecture: A Prior Art and Precedence Record	Aurora_Lens_Prior_Art_Record.pdf	164072	c15c2cc336d7aeef776b3c08457ef16e
20046124	10.5281/zenodo.20046124	Present-Centred Cognition Model — Working Documents, November 2025	Present Centred Cognition Cycle.docx	16528	3eb6ac3889b0afaec4ae560f7584140e
20046124	10.5281/zenodo.20046124	Present-Centred Cognition Model — Working Documents, November 2025	Present Centred Cognition Model.docx	18164	b7aafc6d7e8bafa46d8706329d518203
20046124	10.5281/zenodo.20046124	Present-Centred Cognition Model — Working Documents, November 2025	Conceptual Bridges.docx	20203	726c4f7b42b049502348a19fbfbd80a5
20046124	10.5281/zenodo.20046124	Present-Centred Cognition Model — Working Documents, November 2025	Conceptual Bridges.rtf	130527	139d21382b590169c68898b19c1c44f4
20356020	10.5281/zenodo.20356020	A Terminology Translation Layer for AI Governance Architectures	A Terminology Translation Layer for AI Governance Architectures.pdf	369720	0d86336d1aeee0272e0920a0fc7c5c03
21123912	10.5281/zenodo.21123912	When a Basis Goes Stale: Routing Consequence Through Admissibility	When_a_Basis_Goes_Stale_Routing_Consequence_Through_Admissibility.pdf	19294	f38f7cb8195951acd207bde8459c86ef
21124705	10.5281/zenodo.21124705	Empirical Demonstration: Architectural Limitations in Transformer-Based Reasoning — A Case Study in Pronoun Ambiguity Resolution	EMPIRICAL DEMONSTRATION of LLM Failures.pdf	248489	3ab8dee3265f9597b85b37415951c048
21397474	10.5281/zenodo.21397474	Aurora-Lens: Proof and Precedence	PROVENANCE_COMMIT_PROOF.txt	8160	77bb0acab16faddedd063b9180c24b5d
